feature,correlation,p_value,abs_correlation
cv_weight,0.0025510175879920093,0.17830075238658685,0.0025510175879920093
sum_weight,-0.0023836608116148106,0.20849956187008428,0.0023836608116148106
median_weight,-0.0013828320335021109,0.4656167675613707,0.0013828320335021109
mean_weight,-0.001114780717408281,0.5564005768089969,0.001114780717408281
min_weight,-0.0008422737014741131,0.6567445866640187,0.0008422737014741131
max_weight,-0.000818269481448965,0.6659254746315774,0.000818269481448965
range_weight,-0.000701238253665326,0.7113846522633417,0.000701238253665326
variance_weight,-0.0006285057813933638,0.7401754830248616,0.0006285057813933638
std_weight,-0.00039340240968869914,0.8355628225013704,0.00039340240968869914
anchor_edge_sum,-0.00028595049078781077,0.8800726124049593,0.00028595049078781077
min2_weight,0.00015963099929558228,0.9328761723096222,0.00015963099929558228
